YEAR,AW_ACRE,AW_SE,AW_ACRE_SD,PRECIP_ACRE,PRECIP_SE,PRECIP_SD,COUNT,YEAR1,AW_ACRE1,AW_SE1,PRECIP_ACRE1,PRECIP_SE1,COUNT1,PRECIP_SD1,AW_ACRE1_SD,SUMMER_PRECIP,SUMMER_PRECIP_SD,SUMMER_COUNT,SUMMER_PRECIP_SE,SUMMER_PRECIP1,SUMMER_PRECIP1_SD,SUMMER1_COUNT,SUMMER_PRECIP1_SE
1998,0.2132469,0.023995871,0.400091126,2.762053582,0.122653214,2.045037753,278,1998,0.463924712,0.059749236,3.107707175,0.19513637,78,1.723397757,0.527690962,0.827125071,0.699909177,278,0.041977763,0.906847728,0.643648863,78,0.072878883
1999,0.368495036,0.044771264,0.746486148,1.345086709,0.083080744,1.385232824,278,1999,0.818486356,0.11008658,1.421824377,0.126396862,78,1.116306858,0.972258352,0.423855844,0.376701119,278,0.022593032,0.404614136,0.315261464,78,0.035696332
2000,0.39787043,0.044817423,0.747255771,1.574733322,0.080713115,1.345756559,278,2000,0.855643522,0.110377236,1.841549687,0.131266432,78,1.159313739,0.974825349,0.47799418,0.404231532,278,0.024244196,0.543130251,0.350142798,78,0.039645865
2001,0.412135899,0.046890828,0.78182635,1.381267486,0.060479016,1.008386708,278,2001,0.885719633,0.11443445,1.523536678,0.098478101,78,0.869735041,1.010657697,0.532276611,0.502305601,278,0.030126288,0.555620725,0.425407075,78,0.048167866
2002,0.423608072,0.047811586,0.797178453,1.142470564,0.069329096,1.15594703,278,2002,0.907743393,0.117994165,1.301618304,0.109368957,78,0.965920471,1.04209625,0.333979204,0.26383057,278,0.015823506,0.346996515,0.220491118,78,0.024965703
2003,0.387712467,0.044634983,0.744213886,1.665893089,0.096272761,1.6051877,278,2003,0.841358279,0.112625764,1.811191318,0.145822725,78,1.287871435,0.994683819,0.570272413,0.491882158,278,0.029501131,0.582891063,0.414518024,78,0.046934924
2004,0.436106037,0.049664833,0.828078242,1.605199457,0.078678906,1.311839522,278,2004,0.932078604,0.123550729,1.770105139,0.127591032,78,1.126853481,1.091170496,0.521434749,0.296909797,278,0.017807466,0.527786553,0.272951651,78,0.030905689
2005,0.355797069,0.041207848,0.687072127,2.005169114,0.080841345,1.347894583,278,2005,0.760597872,0.102669463,2.206664157,0.14023661,78,1.238536208,0.906752143,0.579211899,0.618736678,278,0.03710936,0.566160481,0.507063266,78,0.057413609
2006,0.379154606,0.043452223,0.724493344,2.009002652,0.121196325,2.02074656,278,2006,0.819459255,0.109453934,2.314105866,0.196332677,78,1.733963255,0.966670974,0.572853138,0.541280723,278,0.03246386,0.635649752,0.443871233,78,0.05025852
2007,0.44417533,0.050891599,0.84853252,0.947565379,0.064322343,1.072467773,278,2007,0.966116048,0.129366457,0.998068854,0.090649736,78,0.800596793,1.142533611,0.313346441,0.36141696,278,0.021676349,0.304819855,0.250160676,78,0.028325119
2008,0.183873375,0.032111234,0.535401259,1.320555986,0.065692872,1.095319062,278,2008,0.325772683,0.080486457,1.416829945,0.098105789,78,0.866446864,0.710837143,0.287785352,0.281874517,278,0.01690571,0.268675109,0.2008543,78,0.022742271
2009,0.44347048,0.051962425,0.866386767,1.246119489,0.067927513,1.132577974,278,2009,0.972489906,0.133482807,1.394751948,0.109757169,78,0.969349072,1.17888823,0.407283275,0.428568628,278,0.025703838,0.441328315,0.376966918,78,0.042683098
2010,0.380139675,0.044373509,0.739854245,1.923312756,0.095932672,1.599517295,278,2010,0.8282677,0.112963628,2.122807729,0.145230553,78,1.282641511,0.997667753,0.747901805,0.769691424,278,0.046163024,0.81730968,0.616728312,78,0.06983073
